round,player,invest.,quantity,quality,q-cybex,q-firm,av-quality,av-risk,cost-cybex,cost-proc
0,0,1.0,1.0,0.1,101.0,1.0,0.09999999999999983,10.0,1,0
1,1,1.0,1.0,0.1,102.0,2.0,0.09999999999999983,10.0,1,0
2,2,1.0,1.0,0.1,103.0,3.0,0.09999999999999981,10.0,1,0
3,3,1.0,1.0,0.1,104.0,4.0,0.09999999999999981,10.0,1,0
4,4,1.0,1.0,0.1,105.0,5.0,0.09999999999999981,10.0,1,0
5,5,1.0,1.0,0.1,106.0,6.0,0.09999999999999981,10.0,1,0
6,6,1.0,1.0,0.1,107.0,7.0,0.09999999999999981,10.0,1,0
7,7,1.0,1.0,0.1,108.0,8.0,0.09999999999999981,10.0,1,0
8,8,1.0,1.0,0.1,109.0,9.0,0.09999999999999981,10.0,1,0
9,9,1.0,1.0,0.1,110.0,10.0,0.09999999999999981,10.0,1,0
10,0,1.0,1.0,0.1,111.0,11.0,0.09999999999999981,10.0,1,1
11,1,1.0,1.0,0.1,112.0,12.0,0.0999999999999998,10.0,1,1
12,2,1.0,1.0,0.1,113.0,13.0,0.0999999999999998,10.0,1,1
13,3,1.0,1.0,0.1,114.0,14.0,0.0999999999999998,10.0,1,1
14,4,1.0,1.0,0.1,115.0,15.0,0.0999999999999998,10.0,1,1
15,5,1.0,1.0,0.1,116.0,16.0,0.0999999999999998,10.0,1,1
16,6,1.0,1.0,0.1,117.0,17.0,0.0999999999999998,10.0,1,1
17,7,1.0,1.0,0.1,118.0,18.0,0.0999999999999998,10.0,1,1
18,8,1.0,1.0,0.1,119.0,19.0,0.0999999999999998,10.0,1,1
19,9,1.0,1.0,0.1,120.0,20.0,0.0999999999999998,10.0,1,1
20,0,1.0,1.0,0.1,121.0,21.0,0.0999999999999998,10.0,1,2
21,1,1.0,1.0,0.1,122.0,22.0,0.09999999999999978,10.0,1,2
22,2,1.0,1.0,0.1,123.0,23.0,0.09999999999999978,10.0,1,2
23,3,1.0,1.0,0.1,124.0,24.0,0.09999999999999978,10.0,1,2
24,4,1.0,1.0,0.1,125.0,25.0,0.09999999999999978,10.0,1,2
25,5,1.0,1.0,0.1,126.0,26.0,0.09999999999999978,10.0,1,2
26,6,1.0,1.0,0.1,127.0,27.0,0.09999999999999978,10.0,1,2
27,7,1.0,1.0,0.1,128.0,28.0,0.09999999999999978,10.0,1,2
28,8,1.0,1.0,0.1,129.0,29.0,0.09999999999999978,10.0,1,2
29,9,1.0,1.0,0.1,130.0,30.0,0.09999999999999978,10.0,1,2
30,0,1.0,1.0,0.1,131.0,31.0,0.09999999999999978,10.0,1,3
31,1,1.0,1.0,0.1,132.0,32.0,0.09999999999999978,10.0,1,3
32,2,1.0,1.0,0.1,133.0,33.0,0.09999999999999978,10.0,1,3
33,3,1.0,1.0,0.1,134.0,34.0,0.09999999999999978,10.0,1,3
34,4,1.0,1.0,0.1,135.0,35.0,0.09999999999999977,10.0,1,3
35,5,1.0,1.0,0.1,136.0,36.0,0.09999999999999976,10.0,1,3
36,6,1.0,1.0,0.1,137.0,37.0,0.09999999999999974,10.0,1,3
37,7,1.0,1.0,0.1,138.0,38.0,0.09999999999999973,10.0,1,3
38,8,1.0,1.0,0.1,139.0,39.0,0.09999999999999973,10.0,1,3
39,9,1.0,1.0,0.1,140.0,40.0,0.09999999999999973,10.0,1,3
40,0,1.0,1.0,0.1,141.0,41.0,0.09999999999999973,10.0,1,4
41,1,1.0,1.0,0.1,142.0,42.0,0.09999999999999973,10.0,1,4
42,2,1.0,1.0,0.1,143.0,43.0,0.09999999999999973,10.0,1,4
43,3,1.0,1.0,0.1,144.0,44.0,0.09999999999999973,10.0,1,4
44,4,1.0,1.0,0.1,145.0,45.0,0.09999999999999973,10.0,1,4
45,5,1.0,1.0,0.1,146.0,46.0,0.09999999999999973,10.0,1,4
46,6,1.0,1.0,0.1,147.0,47.0,0.09999999999999973,10.0,1,4
47,7,1.0,1.0,0.1,148.0,48.0,0.09999999999999973,10.0,1,4
48,8,1.0,1.0,0.1,149.0,49.0,0.09999999999999973,10.0,1,4
49,9,1.0,1.0,0.1,150.0,50.0,0.09999999999999973,10.0,1,4
50,0,1.0,1.0,0.1,151.0,51.0,0.09999999999999973,10.0,1,5
51,1,1.0,1.0,0.1,152.0,52.0,0.09999999999999973,10.0,1,5
52,2,1.0,1.0,0.1,153.0,53.0,0.09999999999999973,10.0,1,5
53,3,1.0,1.0,0.1,154.0,54.0,0.09999999999999973,10.0,1,5
54,4,1.0,1.0,0.1,155.0,55.0,0.09999999999999973,10.0,1,5
55,5,1.0,1.0,0.1,156.0,56.0,0.09999999999999973,10.0,1,5
56,6,1.0,1.0,0.1,157.0,57.0,0.09999999999999973,10.0,1,5
57,7,1.0,1.0,0.1,158.0,58.0,0.09999999999999973,10.0,1,5
58,8,1.0,1.0,0.1,159.0,59.0,0.09999999999999973,10.0,1,5
59,9,1.0,1.0,0.1,160.0,60.0,0.09999999999999973,10.0,1,5
60,0,1.0,1.0,0.1,161.0,61.0,0.09999999999999974,10.0,1,6
61,1,1.0,1.0,0.1,162.0,62.0,0.09999999999999976,10.0,1,6
62,2,1.0,1.0,0.1,163.0,63.0,0.09999999999999977,10.0,1,6
63,3,1.0,1.0,0.1,164.0,64.0,0.09999999999999977,10.0,1,6
64,4,1.0,1.0,0.1,165.0,65.0,0.09999999999999978,10.0,1,6
65,5,1.0,1.0,0.1,166.0,66.0,0.0999999999999998,10.0,1,6
66,6,1.0,1.0,0.1,167.0,67.0,0.0999999999999998,10.0,1,6
67,7,1.0,1.0,0.1,168.0,68.0,0.09999999999999981,10.0,1,6
68,8,1.0,1.0,0.1,169.0,69.0,0.09999999999999983,10.0,1,6
69,9,1.0,1.0,0.1,170.0,70.0,0.09999999999999984,10.0,1,6
70,0,1.0,1.0,0.1,171.0,71.0,0.09999999999999984,10.0,1,7
71,1,1.0,1.0,0.1,172.0,72.0,0.09999999999999985,10.0,1,7
72,2,1.0,1.0,0.1,173.0,73.0,0.09999999999999987,10.0,1,7
73,3,1.0,1.0,0.1,174.0,74.0,0.09999999999999987,10.0,1,7
74,4,1.0,1.0,0.1,175.0,75.0,0.09999999999999988,10.0,1,7
75,5,1.0,1.0,0.1,176.0,76.0,0.09999999999999988,10.0,1,7
76,6,1.0,1.0,0.1,177.0,77.0,0.0999999999999999,10.0,1,7
77,7,1.0,1.0,0.1,178.0,78.0,0.09999999999999991,10.0,1,7
78,8,1.0,1.0,0.1,179.0,79.0,0.09999999999999991,10.0,1,7
79,9,1.0,1.0,0.1,180.0,80.0,0.09999999999999992,10.0,1,7
80,0,1.0,1.0,0.1,181.0,81.0,0.09999999999999994,10.0,1,8
81,1,1.0,1.0,0.1,182.0,82.0,0.09999999999999994,10.0,1,8
82,2,1.0,1.0,0.1,183.0,83.0,0.09999999999999995,10.0,1,8
83,3,1.0,1.0,0.1,184.0,84.0,0.09999999999999995,10.0,1,8
84,4,1.0,1.0,0.1,185.0,85.0,0.09999999999999996,10.0,1,8
85,5,1.0,1.0,0.1,186.0,86.0,0.09999999999999996,10.0,1,8
86,6,1.0,1.0,0.1,187.0,87.0,0.09999999999999998,10.0,1,8
87,7,1.0,1.0,0.1,188.0,88.0,0.09999999999999999,10.0,1,8
88,8,1.0,1.0,0.1,189.0,89.0,0.09999999999999999,10.0,1,8
89,9,1.0,1.0,0.1,190.0,90.0,0.1,10.0,1,8
90,0,1.0,1.0,0.1,191.0,91.0,0.1,10.0,1,9
91,1,1.0,1.0,0.1,192.0,92.0,0.10000000000000002,10.0,1,9
92,2,1.0,1.0,0.1,193.0,93.0,0.10000000000000002,10.0,1,9
93,3,1.0,1.0,0.1,194.0,94.0,0.10000000000000003,10.0,1,9
94,4,1.0,1.0,0.1,195.0,95.0,0.10000000000000003,10.0,1,9
95,5,1.0,1.0,0.1,196.0,96.0,0.10000000000000005,10.0,1,9
96,6,1.0,1.0,0.1,197.0,97.0,0.10000000000000005,10.0,1,9
97,7,1.0,1.0,0.1,198.0,98.0,0.10000000000000006,10.0,1,9
98,8,1.0,1.0,0.1,199.0,99.0,0.10000000000000006,10.0,1,9
99,9,1.0,1.0,0.1,200.0,100.0,0.10000000000000007,10.0,1,9
